Date,L1_Norm,L2_Norm,Total_Persistence,Max_Persistence,N_Loops,L1_Rolling_SD,L2_Rolling_SD,L1_Tau,L2_Tau,L1_Signal,L2_Signal,Signal_State
1992-03-13,3.781813529412729e-6,5.6731236550775864e-5,0.008441802687944425,0.003208277208102593,10,NA,NA,NA,NA,NA,NA,NA
1992-03-16,3.7818054525673344e-6,5.652118619328875e-5,0.008507478284840855,0.003208277208102593,10,NA,NA,NA,NA,NA,NA,NA
1992-03-17,3.5102426410328215e-6,5.4877622554982416e-5,0.008279515183286915,0.003208277208102593,11,NA,NA,NA,NA,NA,NA,NA
1992-03-18,3.5161595266933115e-6,5.4937060531991745e-5,0.008118143244163503,0.003208277208102593,10,NA,NA,NA,NA,NA,NA,NA
1992-03-19,3.5161595266933115e-6,5.4937060531991745e-5,0.008118143244163503,0.003208277208102593,10,NA,NA,NA,NA,NA,NA,NA
1992-03-20,3.310200811696189e-6,5.441421487834404e-5,0.0071723172479878855,0.003208277208102593,9,NA,NA,NA,NA,NA,NA,NA
1992-03-23,3.6430520008956732e-6,5.5577751385776346e-5,0.008326648097518086,0.003208277208102593,10,NA,NA,NA,NA,NA,NA,NA
1992-03-24,4.509590327359294e-6,6.0426545820692206e-5,0.010234317395723377,0.003208277208102593,11,NA,NA,NA,NA,NA,NA,NA
1992-03-25,2.6989719385845823e-6,3.6656709982301394e-5,0.008772623770810888,0.001925782360768122,11,NA,NA,NA,NA,NA,NA,NA
1992-03-26,1.9355398227177518e-6,2.999104141567366e-5,0.007026040187620785,0.001925782360768122,10,NA,NA,NA,NA,NA,NA,NA
1992-03-27,2.4051132831088603e-6,3.38529374322111e-5,0.00799866274992398,0.001925782360768122,11,NA,NA,NA,NA,NA,NA,NA
1992-03-30,2.4051132831088603e-6,3.38529374322111e-5,0.00799866274992398,0.001925782360768122,11,NA,NA,NA,NA,NA,NA,NA
1992-03-31,3.3313182436763693e-6,4.079614104873915e-5,0.010259931378078006,0.0018911822305164314,12,NA,NA,NA,NA,NA,NA,NA
1992-04-01,3.3313182436763693e-6,4.079614104873915e-5,0.010259931378078006,0.0018911822305164314,12,NA,NA,NA,NA,NA,NA,NA
1992-04-02,3.3313182436763693e-6,4.079614104873915e-5,0.010259931378078006,0.0018911822305164314,12,NA,NA,NA,NA,NA,NA,NA
1992-04-03,3.3282513975093562e-6,4.0794804837566055e-5,0.010148701532591228,0.0018911822305164314,11,NA,NA,NA,NA,NA,NA,NA
1992-04-06,3.0444103023588696e-6,3.959950136708299e-5,0.009023227073239222,0.0018911822305164314,10,NA,NA,NA,NA,NA,NA,NA
1992-04-07,3.0444103023588696e-6,3.959950136708299e-5,0.009023227073239222,0.0018911822305164314,10,NA,NA,NA,NA,NA,NA,NA
1992-04-08,3.0444103023588696e-6,3.959950136708299e-5,0.009019836357994316,0.0018911822305164314,9,NA,NA,NA,NA,NA,NA,NA
1992-04-09,3.0444103023588696e-6,3.959950136708299e-5,0.009019836357994316,0.0018911822305164314,9,NA,NA,NA,NA,NA,NA,NA
1992-04-10,3.554500660623969e-6,4.2896908515868836e-5,0.01017984281340947,0.0018911822305164314,10,NA,NA,NA,NA,NA,NA,NA
1992-04-13,2.8000848016493307e-6,3.604679134427196e-5,0.009527597077362948,0.0018209956415042418,12,NA,NA,NA,NA,NA,NA,NA
1992-04-14,3.034393683770794e-6,4.0435209001751854e-5,0.008934763556843823,0.0020149576751707747,10,NA,NA,NA,NA,NA,NA,NA
1992-04-15,3.034393683770794e-6,4.0435209001751854e-5,0.008934763556843823,0.0020149576751707747,10,NA,NA,NA,NA,NA,NA,NA
1992-04-16,3.2187601083733337e-6,4.3275993115819956e-5,0.008569046693175972,0.0020149576751707747,9,NA,NA,NA,NA,NA,NA,NA
1992-04-20,3.3387711485143947e-6,4.6368681044030145e-5,0.008516464724123804,0.002498522626632022,9,NA,NA,NA,NA,NA,NA,NA
1992-04-21,3.202688275698363e-6,4.587541723183e-5,0.007841247854442214,0.002498522626632022,8,NA,NA,NA,NA,NA,NA,NA
1992-04-22,2.636459835372105e-6,4.2311355973348084e-5,0.006418763572204174,0.002498522626632022,7,NA,NA,NA,NA,NA,NA,NA
1992-04-23,3.2578473979442887e-6,4.575961701854817e-5,0.00832418553517381,0.002498522626632022,9,NA,NA,NA,NA,NA,NA,NA
1992-04-24,4.437111457813022e-6,5.619961817444651e-5,0.009937960505911857,0.002498522626632022,9,NA,NA,NA,NA,NA,NA,NA
1992-04-27,4.437111457813022e-6,5.619961817444651e-5,0.009937960505911857,0.002498522626632022,9,NA,NA,NA,NA,NA,NA,NA
1992-04-28,2.876570907744043e-6,4.3113618941063704e-5,0.007439437879279832,0.002490531196933989,8,NA,NA,NA,NA,NA,NA,NA
1992-04-29,2.096695681450527e-6,3.167572957212844e-5,0.006993026300157649,0.001727364072623555,9,NA,NA,NA,NA,NA,NA,NA
1992-04-30,2.2587334820238607e-6,3.383524494995647e-5,0.007178981797687082,0.001835604718609462,9,NA,NA,NA,NA,NA,NA,NA
1992-05-01,2.6450397342876477e-6,3.739365970890355e-5,0.007778480957399341,0.001835604718609462,9,NA,NA,NA,NA,NA,NA,NA
1992-05-04,2.1286273788351735e-6,3.334714261902481e-5,0.006425411683435313,0.001835604718609462,8,NA,NA,NA,NA,NA,NA,NA
1992-05-05,2.2046538869061305e-6,3.379491254654429e-5,0.006427414798949883,0.001835604718609462,7,NA,NA,NA,NA,NA,NA,NA
